county,time,date,cases,est_cases,est_omicron_cases,est_other_cases,tests,est_tests,est_omicron_tests,est_other_tests,hospitalizations,deaths,est_deaths,icu,cum_deaths,cum_est_deaths,prev_cum_deaths,prev_cum_est_deaths
Kern,59,2023-01-30,296,296,296,0,8957,9022,9021,1,36,1,1,8,2478,2478,2477,2477
Kings,59,2023-01-30,136,136,136,0,2211,2228,2227,1,7,1,1,1,482,482,481,481
Lake,59,2023-01-30,26,26,26,0,555,561,560,1,5,2,2,1,159,159,157,157
Lassen,59,2023-01-30,4,4,4,0,490,494,493,1,0,0,0,0,64,64,64,64
Los Angeles,59,2023-01-30,5791,5833,5833,0,151708,152789,152787,2,633,110,116,72,35318,35332,35208,35216
Madera,59,2023-01-30,48,48,48,0,1479,1491,1490,1,7,0,0,0,375,375,375,375
Marin,59,2023-01-30,102,102,102,0,2159,2176,2175,1,19,0,0,1,317,317,317,317
Mariposa,59,2023-01-30,5,5,5,0,105,106,105,1,0,0,0,0,31,31,31,31
Mendocino,59,2023-01-30,24,24,24,0,518,524,523,1,2,0,0,1,142,142,142,142
Merced,59,2023-01-30,137,137,137,0,1798,1813,1812,1,11,0,0,3,903,903,903,903
Modoc,59,2023-01-30,0,0,0,0,8,9,8,1,1,0,0,0,9,9,9,9
Mono,59,2023-01-30,2,2,2,0,67,68,67,1,0,0,0,0,8,8,8,8
Monterey,59,2023-01-30,155,155,155,0,2846,2869,2868,1,8,1,1,1,797,797,796,796
Napa,59,2023-01-30,72,72,72,0,1370,1380,1379,1,4,0,0,0,161,161,161,161
Nevada,59,2023-01-30,29,29,29,0,591,597,596,1,2,0,0,1,136,136,136,136
Orange,59,2023-01-30,1193,1201,1201,0,22723,22885,22884,1,136,13,13,25,7947,7947,7934,7934
Placer,59,2023-01-30,170,170,170,0,2707,2727,2726,1,49,2,2,3,681,681,679,679
Plumas,59,2023-01-30,3,3,3,0,75,76,75,1,0,0,0,0,14,14,14,14
Riverside,59,2023-01-30,1070,1078,1078,0,15989,16102,16101,1,84,5,5,17,6804,6804,6799,6799
Sacramento,59,2023-01-30,664,670,670,0,13387,13484,13483,1,117,8,8,13,3522,3522,3514,3514
San Benito,59,2023-01-30,32,32,32,0,563,568,567,1,0,0,0,0,110,110,110,110
San Bernardino,59,2023-01-30,930,937,937,0,17213,17336,17335,1,140,0,0,19,8134,8134,8134,8134
San Diego,59,2023-01-30,1860,1873,1873,0,30118,30334,30333,1,202,11,11,32,5782,5782,5771,5771
San Francisco,59,2023-01-30,473,476,476,0,10900,10978,10977,1,51,2,2,4,1170,1170,1168,1168
San Joaquin,59,2023-01-30,308,308,308,0,7657,7713,7712,1,22,3,3,5,2420,2420,2417,2417
San Luis Obispo,59,2023-01-30,140,140,140,0,1912,1926,1925,1,13,5,5,0,561,561,556,556
San Mateo,59,2023-01-30,429,432,432,0,8643,8705,8704,1,25,0,0,3,742,742,742,742
Santa Barbara,59,2023-01-30,227,227,227,0,4266,4298,4297,1,25,1,1,2,758,758,757,757
Santa Clara,59,2023-01-30,1180,1188,1188,0,23637,23807,23806,1,132,5,5,14,2688,2688,2683,2683
Santa Cruz,59,2023-01-30,133,133,133,0,9330,9398,9397,1,12,0,0,0,276,276,276,276
Shasta,59,2023-01-30,18,18,18,0,665,670,669,1,7,0,0,0,600,600,600,600
Siskiyou,59,2023-01-30,6,6,6,0,195,196,195,1,0,0,0,0,95,95,95,95
Solano,59,2023-01-30,236,236,236,0,4171,4202,4201,1,40,0,0,1,474,474,474,474
Sonoma,59,2023-01-30,157,157,157,0,3596,3622,3621,1,23,1,1,1,552,552,551,551
Stanislaus,59,2023-01-30,231,231,231,0,4127,4157,4156,1,43,2,2,3,1840,1840,1838,1838
Sutter,59,2023-01-30,36,36,36,0,611,616,615,1,0,1,1,0,236,236,235,235
Tehama,59,2023-01-30,8,8,8,0,317,319,318,1,1,1,1,0,231,231,230,230
Trinity,59,2023-01-30,7,7,7,0,26,27,26,1,0,0,0,0,23,23,23,23
Tulare,59,2023-01-30,260,260,260,0,4020,4049,4048,1,28,3,3,3,1582,1582,1579,1579
Tuolumne,59,2023-01-30,45,45,45,0,600,603,602,1,3,0,0,0,211,211,211,211
Ventura,59,2023-01-30,363,363,363,0,8126,8185,8184,1,46,7,7,8,1669,1669,1662,1662
Yolo,59,2023-01-30,86,86,86,0,1298,1308,1307,1,2,1,1,0,442,442,441,441
Yuba,59,2023-01-30,32,32,32,0,656,662,661,1,3,0,0,1,122,122,122,122
Alameda,60,2023-02-06,1104,1112,1112,0,18252,18404,18403,1,86,5,5,9,2188,2188,2183,2183
Amador,60,2023-02-06,29,29,29,0,637,646,645,1,1,0,0,0,98,98,98,98
Butte,60,2023-02-06,84,84,84,0,1209,1220,1219,1,20,0,0,1,488,488,488,488
Calaveras,60,2023-02-06,14,14,14,0,323,325,324,1,0,0,0,0,140,140,140,140
Colusa,60,2023-02-06,6,6,6,0,184,186,185,1,0,0,0,0,22,22,22,22
Contra Costa,60,2023-02-06,714,721,721,0,11856,11954,11953,1,50,2,2,9,1552,1552,1550,1550
Del Norte,60,2023-02-06,58,58,58,0,394,398,397,1,0,0,0,0,59,59,59,59
El Dorado,60,2023-02-06,59,59,59,0,1133,1144,1143,1,3,0,0,0,244,244,244,244
Fresno,60,2023-02-06,510,515,515,0,9027,9103,9102,1,89,4,4,15,2995,2995,2991,2991
Glenn,60,2023-02-06,10,10,10,0,170,172,171,1,0,0,0,0,53,53,53,53
Humboldt,60,2023-02-06,56,56,56,0,566,572,571,1,6,1,1,0,170,170,169,169
Imperial,60,2023-02-06,123,123,123,0,2098,2116,2115,1,7,1,1,0,979,979,978,978
Inyo,60,2023-02-06,9,9,9,0,210,211,210,1,0,0,0,0,63,63,63,63
Kern,60,2023-02-06,327,329,329,0,8598,8670,8669,1,34,2,2,4,2480,2480,2478,2478
Kings,60,2023-02-06,126,126,126,0,2056,2074,2073,1,3,0,0,1,482,482,482,482
Lake,60,2023-02-06,25,25,25,0,561,568,567,1,5,1,1,0,160,160,159,159
Lassen,60,2023-02-06,6,6,6,0,445,448,447,1,0,0,0,0,64,64,64,64
Los Angeles,60,2023-02-06,5897,5946,5946,0,141914,143091,143089,2,609,89,96,83,35407,35428,35318,35332
Madera,60,2023-02-06,55,55,55,0,1308,1319,1318,1,4,1,1,0,376,376,375,375
Marin,60,2023-02-06,144,144,144,0,2132,2151,2150,1,13,0,0,3,317,317,317,317
Mariposa,60,2023-02-06,2,2,2,0,105,106,105,1,0,0,0,0,31,31,31,31
Mendocino,60,2023-02-06,31,31,31,0,513,519,518,1,4,0,0,2,142,142,142,142
Merced,60,2023-02-06,166,166,166,0,1888,1904,1903,1,12,0,0,0,903,903,903,903
Modoc,60,2023-02-06,2,2,2,0,6,7,6,1,0,0,0,0,9,9,9,9
Mono,60,2023-02-06,4,4,4,0,92,93,92,1,0,0,0,0,8,8,8,8
Monterey,60,2023-02-06,227,227,227,0,2938,2964,2963,1,22,3,3,1,800,800,797,797
Napa,60,2023-02-06,110,110,110,0,1404,1417,1416,1,4,0,0,3,161,161,161,161
Nevada,60,2023-02-06,32,32,32,0,572,578,577,1,4,0,0,0,136,136,136,136
Orange,60,2023-02-06,1293,1305,1305,0,22312,22498,22497,1,154,23,23,20,7970,7970,7947,7947
Placer,60,2023-02-06,164,164,164,0,2656,2679,2678,1,41,0,0,4,681,681,681,681
Plumas,60,2023-02-06,2,2,2,0,72,73,72,1,0,1,1,0,15,15,14,14
Riverside,60,2023-02-06,1128,1138,1138,0,15528,15657,15656,1,89,5,5,14,6809,6809,6804,6804
Sacramento,60,2023-02-06,731,738,738,0,13188,13298,13297,1,96,5,5,19,3527,3527,3522,3522
San Benito,60,2023-02-06,50,50,50,0,538,544,543,1,1,0,0,0,110,110,110,110
San Bernardino,60,2023-02-06,1081,1090,1090,0,17430,17575,17574,1,152,0,0,17,8134,8134,8134,8134
San Diego,60,2023-02-06,1873,1888,1888,0,30063,30314,30313,1,230,8,8,23,5790,5790,5782,5782
San Francisco,60,2023-02-06,573,579,579,0,10536,10623,10622,1,58,3,3,2,1173,1173,1170,1170
San Joaquin,60,2023-02-06,434,436,436,0,6930,6989,6988,1,32,1,1,3,2421,2421,2420,2420
San Luis Obispo,60,2023-02-06,150,150,150,0,1906,1923,1922,1,7,1,1,0,562,562,561,561
San Mateo,60,2023-02-06,528,535,535,0,8194,8263,8262,1,42,0,0,1,742,742,742,742
Santa Barbara,60,2023-02-06,239,239,239,0,4365,4402,4401,1,21,1,1,0,759,759,758,758
Santa Clara,60,2023-02-06,1302,1314,1314,0,23467,23663,23662,1,123,9,9,23,2697,2697,2688,2688
Santa Cruz,60,2023-02-06,232,233,233,0,10396,10484,10483,1,11,0,0,0,276,276,276,276
Shasta,60,2023-02-06,24,24,24,0,660,666,665,1,9,0,0,0,600,600,600,600
Siskiyou,60,2023-02-06,11,11,11,0,221,222,221,1,0,0,0,0,95,95,95,95
Solano,60,2023-02-06,289,290,290,0,3852,3885,3884,1,41,0,0,5,474,474,474,474
Sonoma,60,2023-02-06,265,265,265,0,3566,3597,3596,1,17,3,3,1,555,555,552,552
Stanislaus,60,2023-02-06,277,277,277,0,3926,3959,3958,1,54,1,1,6,1841,1841,1840,1840
Sutter,60,2023-02-06,50,50,50,0,706,713,712,1,0,0,0,0,236,236,236,236
Tehama,60,2023-02-06,17,17,17,0,344,346,345,1,2,0,0,0,231,231,231,231
Trinity,60,2023-02-06,1,1,1,0,19,20,19,1,0,0,0,0,23,23,23,23
Tulare,60,2023-02-06,272,273,273,0,4388,4426,4425,1,28,2,2,3,1584,1584,1582,1582
Tuolumne,60,2023-02-06,48,48,48,0,555,563,562,1,1,0,0,0,211,211,211,211
Ventura,60,2023-02-06,326,327,327,0,6929,6987,6986,1,39,1,1,5,1670,1670,1669,1669
Yolo,60,2023-02-06,79,79,79,0,1254,1266,1265,1,4,1,1,2,443,443,442,442
Yuba,60,2023-02-06,22,22,22,0,623,631,630,1,3,0,0,1,122,122,122,122
Alameda,61,2023-02-13,1119,1131,1131,0,17633,17805,17804,1,90,2,2,8,2190,2190,2188,2188
Amador,61,2023-02-13,19,19,19,0,497,505,504,1,0,0,0,0,98,98,98,98
Butte,61,2023-02-13,86,86,86,0,1252,1266,1265,1,25,1,1,2,489,489,488,488
Calaveras,61,2023-02-13,14,14,14,0,295,298,297,1,0,0,0,0,140,140,140,140
Colusa,61,2023-02-13,8,8,8,0,136,138,137,1,0,0,0,0,22,22,22,22
Contra Costa,61,2023-02-13,700,707,707,0,11539,11652,11651,1,44,2,2,10,1554,1554,1552,1552
Del Norte,61,2023-02-13,19,19,19,0,299,302,301,1,2,0,0,0,59,59,59,59
El Dorado,61,2023-02-13,65,65,65,0,1101,1114,1113,1,2,0,0,0,244,244,244,244
Fresno,61,2023-02-13,470,476,476,0,8725,8811,8810,1,106,4,4,7,2999,2999,2995,2995
Glenn,61,2023-02-13,11,11,11,0,175,177,176,1,5,0,0,0,53,53,53,53
Humboldt,61,2023-02-13,37,37,37,0,578,585,584,1,7,0,0,1,170,170,170,170
Imperial,61,2023-02-13,142,142,142,0,1856,1876,1875,1,3,1,1,5,980,980,979,979
Inyo,61,2023-02-13,5,5,5,0,200,201,200,1,0,0,0,0,63,63,63,63
Kern,61,2023-02-13,328,330,330,0,8265,8347,8346,1,37,2,2,6,2482,2482,2480,2480
Kings,61,2023-02-13,88,88,88,0,1900,1920,1919,1,6,1,1,0,483,483,482,482
Lake,61,2023-02-13,20,20,20,0,567,573,572,1,2,0,0,0,160,160,160,160
Lassen,61,2023-02-13,5,5,5,0,361,365,364,1,0,0,0,0,64,64,64,64
Los Angeles,61,2023-02-13,5907,5964,5964,0,130235,131503,131502,1,613,75,81,67,35482,35509,35407,35428
Madera,61,2023-02-13,60,60,60,0,1238,1250,1249,1,7,0,0,2,376,376,376,376
Marin,61,2023-02-13,143,143,143,0,1931,1951,1950,1,19,0,0,3,317,317,317,317
Mariposa,61,2023-02-13,3,3,3,0,102,103,102,1,0,0,0,0,31,31,31,31
Mendocino,61,2023-02-13,28,28,28,0,538,545,544,1,3,2,2,1,144,144,142,142
Merced,61,2023-02-13,167,167,167,0,1857,1877,1876,1,8,0,0,0,903,903,903,903
Modoc,61,2023-02-13,0,0,0,0,2,3,2,1,0,0,0,0,9,9,9,9
Mono,61,2023-02-13,1,1,1,0,66,67,66,1,0,0,0,0,8,8,8,8
Monterey,61,2023-02-13,223,223,223,0,2491,2517,2516,1,25,3,3,1,803,803,800,800
Napa,61,2023-02-13,92,92,92,0,1364,1379,1378,1,4,1,1,0,162,162,161,161
Nevada,61,2023-02-13,37,37,37,0,596,603,602,1,4,0,0,1,136,136,136,136
Orange,61,2023-02-13,1378,1390,1390,0,20600,20801,20800,1,161,12,12,21,7982,7982,7970,7970
Placer,61,2023-02-13,161,161,161,0,2613,2640,2639,1,35,0,0,6,681,681,681,681
Plumas,61,2023-02-13,3,3,3,0,80,81,80,1,1,0,0,0,15,15,15,15
Riverside,61,2023-02-13,1093,1104,1104,0,16091,16247,16246,1,93,7,7,16,6816,6816,6809,6809
Sacramento,61,2023-02-13,821,828,828,0,13050,13177,13176,1,113,5,5,19,3532,3532,3527,3527
San Benito,61,2023-02-13,43,43,43,0,566,574,573,1,1,0,0,0,110,110,110,110
San Bernardino,61,2023-02-13,1020,1029,1029,0,16936,17103,17102,1,134,0,0,18,8134,8134,8134,8134
San Diego,61,2023-02-13,2023,2044,2044,0,29199,29483,29482,1,218,4,4,25,5794,5794,5790,5790
San Francisco,61,2023-02-13,592,599,599,0,10689,10793,10792,1,59,3,3,5,1176,1176,1173,1173
San Joaquin,61,2023-02-13,457,462,462,0,6972,7042,7041,1,28,1,1,3,2422,2422,2421,2421
San Luis Obispo,61,2023-02-13,133,133,133,0,1683,1700,1699,1,4,1,1,4,563,563,562,562
San Mateo,61,2023-02-13,521,528,528,0,8198,8281,8280,1,29,0,0,5,742,742,742,742
Santa Barbara,61,2023-02-13,188,188,188,0,3937,3977,3976,1,16,1,1,5,760,760,759,759
Santa Clara,61,2023-02-13,1373,1386,1386,0,23134,23361,23360,1,114,9,9,25,2706,2706,2697,2697
Santa Cruz,61,2023-02-13,206,207,207,0,9623,9717,9716,1,19,0,0,0,276,276,276,276
Shasta,61,2023-02-13,33,33,33,0,674,680,679,1,7,0,0,0,600,600,600,600
Siskiyou,61,2023-02-13,11,11,11,0,199,200,199,1,0,0,0,0,95,95,95,95
Solano,61,2023-02-13,260,260,260,0,3774,3812,3811,1,28,0,0,3,474,474,474,474
Sonoma,61,2023-02-13,235,236,236,0,3422,3457,3456,1,32,1,1,1,556,556,555,555
Stanislaus,61,2023-02-13,269,269,269,0,3816,3854,3853,1,47,1,1,9,1842,1842,1841,1841
Sutter,61,2023-02-13,46,46,46,0,658,666,665,1,0,1,1,0,237,237,236,236
Tehama,61,2023-02-13,16,16,16,0,346,352,351,1,1,2,2,0,233,233,231,231
Trinity,61,2023-02-13,1,1,1,0,26,27,26,1,0,0,0,0,23,23,23,23
Tulare,61,2023-02-13,247,247,247,0,4115,4156,4155,1,29,3,3,1,1587,1587,1584,1584
Tuolumne,61,2023-02-13,38,38,38,0,508,515,514,1,2,0,0,0,211,211,211,211
Ventura,61,2023-02-13,316,318,318,0,6664,6730,6729,1,29,5,5,6,1675,1675,1670,1670
Yolo,61,2023-02-13,77,77,77,0,1248,1262,1261,1,3,0,0,1,443,443,443,443
Yuba,61,2023-02-13,31,31,31,0,643,651,650,1,8,0,0,0,122,122,122,122
Alameda,62,2023-02-20,1018,1029,1029,0,15445,15618,15617,1,79,3,3,5,2193,2193,2190,2190
Amador,62,2023-02-20,25,25,25,0,496,504,503,1,1,0,0,1,98,98,98,98
Butte,62,2023-02-20,43,43,43,0,1051,1065,1064,1,7,2,2,1,491,491,489,489
Calaveras,62,2023-02-20,17,17,17,0,289,295,294,1,0,0,0,1,140,140,140,140
Colusa,62,2023-02-20,12,12,12,0,92,93,92,1,0,0,0,0,22,22,22,22
Contra Costa,62,2023-02-20,668,675,675,0,10000,10111,10110,1,57,5,5,6,1559,1559,1554,1554
Del Norte,62,2023-02-20,11,11,11,0,258,260,259,1,2,0,0,0,59,59,59,59
El Dorado,62,2023-02-20,51,51,51,0,976,988,987,1,2,1,1,1,245,245,244,244
Fresno,62,2023-02-20,455,462,462,0,8217,8310,8309,1,84,5,5,17,3004,3004,2999,2999
Glenn,62,2023-02-20,5,5,5,0,146,148,147,1,5,0,0,0,53,53,53,53
Humboldt,62,2023-02-20,33,33,33,0,576,584,583,1,7,0,0,1,170,170,170,170
Imperial,62,2023-02-20,122,122,122,0,1782,1803,1802,1,8,0,0,0,980,980,980,980
Inyo,62,2023-02-20,6,6,6,0,162,164,163,1,0,0,0,0,63,63,63,63
Kern,62,2023-02-20,402,409,409,0,7473,7557,7556,1,29,3,3,5,2485,2485,2482,2482
Kings,62,2023-02-20,77,77,77,0,1639,1658,1657,1,5,1,1,0,484,484,483,483
Lake,62,2023-02-20,19,19,19,0,483,490,489,1,2,1,1,1,161,161,160,160
Lassen,62,2023-02-20,2,2,2,0,327,332,331,1,0,0,0,0,64,64,64,64
Los Angeles,62,2023-02-20,5646,5708,5708,0,118386,119704,119703,1,601,78,84,76,35560,35593,35482,35509
Madera,62,2023-02-20,61,61,61,0,1089,1101,1100,1,3,0,0,2,376,376,376,376
Marin,62,2023-02-20,153,153,153,0,1856,1877,1876,1,13,0,0,2,317,317,317,317
Mariposa,62,2023-02-20,6,6,6,0,121,122,121,1,0,0,0,0,31,31,31,31
Mendocino,62,2023-02-20,25,25,25,0,489,495,494,1,3,0,0,0,144,144,144,144
Merced,62,2023-02-20,122,122,122,0,1753,1774,1773,1,19,0,0,1,903,903,903,903
Modoc,62,2023-02-20,1,1,1,0,15,16,15,1,0,0,0,0,9,9,9,9
Mono,62,2023-02-20,2,2,2,0,67,68,67,1,0,0,0,0,8,8,8,8
Monterey,62,2023-02-20,157,157,157,0,2319,2346,2345,1,22,0,0,0,803,803,803,803
Napa,62,2023-02-20,78,78,78,0,1085,1099,1098,1,3,1,1,1,163,163,162,162
Nevada,62,2023-02-20,28,28,28,0,611,619,618,1,7,1,1,1,137,137,136,136
Orange,62,2023-02-20,1326,1341,1341,0,19407,19623,19622,1,158,18,18,21,8000,8000,7982,7982
Placer,62,2023-02-20,161,161,161,0,2422,2450,2449,1,48,1,1,3,682,682,681,681
Plumas,62,2023-02-20,8,8,8,0,75,76,75,1,0,0,0,0,15,15,15,15
Riverside,62,2023-02-20,992,1004,1004,0,15213,15383,15382,1,92,7,7,9,6823,6823,6816,6816
Sacramento,62,2023-02-20,731,738,738,0,11556,11685,11684,1,103,11,11,16,3543,3543,3532,3532
San Benito,62,2023-02-20,28,28,28,0,476,484,483,1,1,2,2,0,112,112,110,110
San Bernardino,62,2023-02-20,904,914,914,0,15186,15356,15355,1,117,0,0,27,8134,8134,8134,8134
San Diego,62,2023-02-20,1764,1783,1783,0,25337,25621,25620,1,201,7,7,25,5801,5801,5794,5794
San Francisco,62,2023-02-20,595,602,602,0,9931,10042,10041,1,79,0,0,7,1176,1176,1176,1176
San Joaquin,62,2023-02-20,414,420,420,0,7367,7451,7450,1,30,1,1,7,2423,2423,2422,2422
San Luis Obispo,62,2023-02-20,96,96,96,0,1435,1452,1451,1,11,0,0,0,563,563,563,563
San Mateo,62,2023-02-20,464,471,471,0,7429,7512,7511,1,44,0,0,3,742,742,742,742
Santa Barbara,62,2023-02-20,206,206,206,0,3629,3669,3668,1,18,0,0,5,760,760,760,760
Santa Clara,62,2023-02-20,1220,1233,1233,0,19503,19721,19720,1,111,11,11,26,2717,2717,2706,2706
Santa Cruz,62,2023-02-20,136,136,136,0,6262,6333,6332,1,20,0,0,2,276,276,276,276
Shasta,62,2023-02-20,18,18,18,0,728,738,737,1,2,0,0,0,600,600,600,600
Siskiyou,62,2023-02-20,14,14,14,0,198,199,198,1,0,0,0,0,95,95,95,95
Solano,62,2023-02-20,229,231,231,0,3263,3300,3299,1,26,0,0,3,474,474,474,474
Sonoma,62,2023-02-20,261,262,262,0,3199,3237,3236,1,24,1,1,4,557,557,556,556
Stanislaus,62,2023-02-20,264,266,266,0,3643,3685,3684,1,55,0,0,4,1842,1842,1842,1842
Sutter,62,2023-02-20,38,38,38,0,539,547,546,1,0,1,1,0,238,238,237,237
Tehama,62,2023-02-20,13,13,13,0,279,283,282,1,0,0,0,0,233,233,233,233
Trinity,62,2023-02-20,0,0,0,0,30,31,30,1,0,0,0,0,23,23,23,23
Tulare,62,2023-02-20,214,215,215,0,3795,3838,3837,1,23,0,0,0,1587,1587,1587,1587
Tuolumne,62,2023-02-20,32,32,32,0,446,453,452,1,0,0,0,0,211,211,211,211
Ventura,62,2023-02-20,283,285,285,0,5625,5688,5687,1,30,4,4,7,1679,1679,1675,1675
Yolo,62,2023-02-20,87,87,87,0,1281,1297,1296,1,1,2,2,1,445,445,443,443
Yuba,62,2023-02-20,25,25,25,0,507,514,513,1,6,0,0,0,122,122,122,122
Alameda,63,2023-02-27,1122,1136,1136,0,18634,18870,18869,1,96,7,7,9,2200,2200,2193,2193
Amador,63,2023-02-27,19,19,19,0,521,529,528,1,1,0,0,1,98,98,98,98
Butte,63,2023-02-27,55,55,55,0,948,961,960,1,8,1,1,1,492,492,491,491
Calaveras,63,2023-02-27,15,15,15,0,306,312,311,1,1,0,0,0,140,140,140,140
Colusa,63,2023-02-27,12,12,12,0,85,86,85,1,0,0,0,0,22,22,22,22
Contra Costa,63,2023-02-27,723,731,731,0,11448,11592,11591,1,63,4,4,11,1563,1563,1559,1559
Del Norte,63,2023-02-27,7,7,7,0,288,292,291,1,0,0,0,0,59,59,59,59
El Dorado,63,2023-02-27,61,61,61,0,1037,1052,1051,1,2,1,1,0,246,246,245,245
Fresno,63,2023-02-27,467,474,474,0,8990,9104,9103,1,93,2,2,7,3006,3006,3004,3004
Glenn,63,2023-02-27,4,4,4,0,144,146,145,1,1,0,0,0,53,53,53,53
Humboldt,63,2023-02-27,29,29,29,0,490,498,497,1,4,0,0,1,170,170,170,170
Imperial,63,2023-02-27,175,175,175,0,1834,1857,1856,1,13,0,0,0,980,980,980,980
Inyo,63,2023-02-27,4,4,4,0,156,158,157,1,0,0,0,0,63,63,63,63
Kern,63,2023-02-27,401,406,406,0,8253,8359,8358,1,42,3,3,7,2488,2488,2485,2485
Kings,63,2023-02-27,62,62,62,0,1687,1711,1710,1,4,1,1,0,485,485,484,484
Lake,63,2023-02-27,21,21,21,0,465,473,472,1,2,1,1,1,162,162,161,161
Lassen,63,2023-02-27,3,3,3,0,352,357,356,1,0,0,0,0,64,64,64,64
Los Angeles,63,2023-02-27,5356,5423,5423,0,134607,136297,136295,2,573,68,76,75,35628,35669,35560,35593
Madera,63,2023-02-27,62,62,62,0,1187,1202,1201,1,7,0,0,1,376,376,376,376
Marin,63,2023-02-27,146,146,146,0,1966,1992,1991,1,16,0,0,3,317,317,317,317
Mariposa,63,2023-02-27,7,7,7,0,97,98,97,1,0,0,0,0,31,31,31,31
Mendocino,63,2023-02-27,21,21,21,0,492,500,499,1,5,1,1,1,145,145,144,144
Merced,63,2023-02-27,124,124,124,0,1885,1909,1908,1,19,0,0,1,903,903,903,903
Modoc,63,2023-02-27,1,1,1,0,8,9,8,1,0,0,0,0,9,9,9,9
Mono,63,2023-02-27,5,5,5,0,52,53,52,1,0,0,0,0,8,8,8,8
Monterey,63,2023-02-27,182,182,182,0,2579,2612,2611,1,30,2,2,1,805,805,803,803
Napa,63,2023-02-27,79,79,79,0,1316,1333,1332,1,7,2,2,4,165,165,163,163
Nevada,63,2023-02-27,25,25,25,0,566,575,574,1,2,0,0,0,137,137,137,137
Orange,63,2023-02-27,1196,1210,1210,0,19613,19862,19861,1,161,19,21,21,8019,8021,8000,8000
Placer,63,2023-02-27,181,181,181,0,2567,2602,2601,1,44,0,0,7,682,682,682,682
Plumas,63,2023-02-27,3,3,3,0,88,89,88,1,0,0,0,0,15,15,15,15
Riverside,63,2023-02-27,914,925,925,0,15463,15658,15657,1,76,7,7,15,6830,6830,6823,6823
Sacramento,63,2023-02-27,934,946,946,0,12781,12943,12942,1,121,6,6,19,3549,3549,3543,3543
San Benito,63,2023-02-27,29,29,29,0,473,480,479,1,2,0,0,0,112,112,112,112
San Bernardino,63,2023-02-27,867,878,878,0,16328,16534,16533,1,111,0,0,24,8134,8134,8134,8134
San Diego,63,2023-02-27,1808,1830,1830,0,27530,27877,27876,1,210,5,5,21,5806,5806,5801,5801
San Francisco,63,2023-02-27,657,664,664,0,11612,11758,11757,1,76,6,6,8,1182,1182,1176,1176
San Joaquin,63,2023-02-27,415,421,421,0,7519,7614,7613,1,33,2,2,3,2425,2425,2423,2423
San Luis Obispo,63,2023-02-27,83,83,83,0,1670,1693,1692,1,11,2,2,0,565,565,563,563
San Mateo,63,2023-02-27,478,485,485,0,7460,7557,7556,1,43,0,0,4,742,742,742,742
Santa Barbara,63,2023-02-27,176,177,177,0,3561,3606,3605,1,18,2,2,8,762,762,760,760
Santa Clara,63,2023-02-27,1341,1358,1358,0,21571,21844,21843,1,126,8,8,26,2725,2725,2717,2717
Santa Cruz,63,2023-02-27,160,161,161,0,8755,8866,8865,1,7,0,0,1,276,276,276,276
Shasta,63,2023-02-27,37,37,37,0,656,665,664,1,9,0,0,1,600,600,600,600
Siskiyou,63,2023-02-27,11,11,11,0,235,237,236,1,0,0,0,0,95,95,95,95
Solano,63,2023-02-27,296,300,300,0,3679,3726,3725,1,30,0,0,8,474,474,474,474
Sonoma,63,2023-02-27,217,218,218,0,3410,3454,3453,1,33,1,1,5,558,558,557,557
Stanislaus,63,2023-02-27,243,245,245,0,3839,3889,3888,1,58,0,0,3,1842,1842,1842,1842
Sutter,63,2023-02-27,46,46,46,0,503,511,510,1,0,0,0,0,238,238,238,238
Tehama,63,2023-02-27,14,14,14,0,267,270,269,1,2,0,0,1,233,233,233,233
Trinity,63,2023-02-27,0,0,0,0,20,21,20,1,0,0,0,0,23,23,23,23
Tulare,63,2023-02-27,216,216,216,0,4010,4061,4060,1,22,3,3,2,1590,1590,1587,1587
Tuolumne,63,2023-02-27,40,40,40,0,472,480,479,1,0,0,0,1,211,211,211,211
Ventura,63,2023-02-27,276,279,279,0,5916,5991,5990,1,35,2,2,7,1681,1681,1679,1679
Yolo,63,2023-02-27,92,92,92,0,1369,1386,1385,1,3,2,2,1,447,447,445,445
Yuba,63,2023-02-27,36,36,36,0,508,516,515,1,0,0,0,0,122,122,122,122
Alameda,64,2023-03-06,926,938,938,0,16589,16828,16827,1,96,4,4,12,2204,2204,2200,2200
Amador,64,2023-03-06,13,13,13,0,461,469,468,1,0,0,0,0,98,98,98,98
Butte,64,2023-03-06,37,37,37,0,591,600,599,1,5,1,1,0,493,493,492,492
Calaveras,64,2023-03-06,19,19,19,0,269,274,273,1,0,2,2,0,142,142,140,140
Colusa,64,2023-03-06,13,13,13,0,161,164,163,1,0,0,0,0,22,22,22,22
Contra Costa,64,2023-03-06,693,703,703,0,10261,10409,10408,1,64,3,3,8,1566,1566,1563,1563
Del Norte,64,2023-03-06,6,6,6,0,253,257,256,1,1,1,1,1,60,60,59,59
El Dorado,64,2023-03-06,52,52,52,0,955,970,969,1,2,0,0,0,246,246,246,246
Fresno,64,2023-03-06,393,399,399,0,7964,8081,8080,1,77,5,5,16,3011,3011,3006,3006
Glenn,64,2023-03-06,4,4,4,0,163,165,164,1,0,0,0,0,53,53,53,53
Humboldt,64,2023-03-06,21,21,21,0,491,499,498,1,1,0,0,1,170,170,170,170
Imperial,64,2023-03-06,170,171,171,0,1608,1632,1631,1,9,0,0,0,980,980,980,980
Inyo,64,2023-03-06,4,4,4,0,136,139,138,1,1,0,0,0,63,63,63,63
